"id","title","abstract","included"
1095,"Concomitant immune-related events in Wilson disease: implications for monitoring chelator therapy","BACKGROUND AND AIMS: Current guidelines favor the use of chelating agents (d-penicillamine, trientine) in first line therapy of symptomatic Wilson disease patients. Development of chelator induced immunological adverse events are a concern especially under d-penicillamine therapy. This study assessed the prevalence of co-existing or therapy-related immune-mediated diseases in Wilson disease patients, and evaluated the role of antinuclear antibodies in therapy monitoring. METHODS: We retrospectively analyzed 235 Wilson disease patients. Medical regimens were classified and analyzed in relation to adverse events and antinuclear antibody courses. RESULTS: Coexisting immune-mediated diseases were evident in 19/235 (8.1%) patients, of which 13/235 (5.5%) had pre-existing autoimmune diseases. Six patients (2.6%) developed an autoimmune disease under therapy, all of them under long-term d-penicillamine treatment. Data relating to antinuclear antibody courses during treatment and adverse events were available for patients treated with d-penicillamine (n=91), trientine (n=58), and zinc salts (n=58). No significant increase in antinuclear antibody titers in patients treated with d-penicillamine (16/91; 17.6%), trientine (12/58; 20.7%), and zinc (7/58; 12.1%) were found. CONCLUSION: Under long-term d-penicillamine therapy a minority of patients developed immune-mediated disease. Elevations in antinuclear antibodies were found frequently, but no correlations were evident between increases in antinuclear antibodies and the development of immune-mediated diseases or medical regimes. Thus, the value of antinuclear antibodies for monitoring adverse events under chelator therapy seems to be limited.",1
1109,"Early neurological worsening in patients with Wilson's disease","BACKGROUND: Early neurological worsening during treatment initiation for Wilson's disease (WD) is an unresolved problem. Our aim was to establish the frequency and outcome of early neurological worsening in patients with WD. METHODS: We analyzed 143 symptomatic patients diagnosed with WD between 2005 and 2009. Early neurological deterioration was based on worsening on the Unified Wilson's Disease Score Scale, scored at baseline through 6 months or occurrence of new neurological symptoms. Reversibility of worsening was followed up to 24 months. RESULTS: Early neurological worsening was observed in 11.1% (16/143) and involved only patients with neurological signs at diagnosis. Mean time to worsening from treatment initiation was 2.3 +/- 1.9 months. Neurological deterioration was completely reversible in 53% (8/15) and partially in 13% (2/15) of patients over 9.2 +/- 5.2 months. Patients who experienced early deterioration had significantly more severe baseline neurological deficit, higher prevalence of thalamic (66% vs 29%) and brain stem (73% vs 33%) lesions seen on baseline magnetic resonance imaging, and more often used concomitant dopamine receptor antagonists (46% vs 5%). Disease duration, treatment type (d-penicillamine or zinc sulfate), type of neurological manifestations, initial copper metabolism results, and liver function parameters did not differ between evaluated groups. CONCLUSIONS: Neurological worsening at the beginning of anti-copper therapy may occur in over 10% of WD patients. Special attention should be paid to those with severe initial neurological manifestations, advanced brain injury and using dopamine receptor antagonists. Type of anti-copper therapy did not show clear association with early neurological worsening. Copyright © 2015 Elsevier B.V. All rights reserved.",1
1152,"Zinc monotherapy is effective in Wilson's disease patients with mild liver disease diagnosed in childhood: a retrospective study","BACKGROUND: Wilson's disease (WD) evolves rapidly and is fatal if untreated. The treatment of WD patients with mild liver disease is not clearly defined. To address this issue, we evaluated long-term outcomes of three treatment regimens (D-penicillamine, zinc or both) in patients diagnosed in childhood. METHODS: We retrospectively evaluated efficacy, compliance and reasons for treatment discontinuation in 42 WD patients (median age at diagnosis: 6 years; median follow-up: 12 years) with mild liver disease. Treatment duration for each treatment block until a medication change or completion of follow-up was analyzed. Events of change of treatment were evaluated using Kaplan-Meier analysis. RESULTS: Total discontinuations due to treatment failure or adverse events were more frequent in patients receiving D-penicillamine (45%) or combination (36%) therapy than in patients receiving zinc (12%) (P = .001 and P = .02, respectively). Treatment failure was more frequent on D-penicillamine (28%) and combination therapy (36%) than on zinc (12%); the difference was statistically significant only between zinc and combination therapy (P = .03). First-line zinc monotherapy controlled WD-related liver disease in 13/15 patients (87%); the two subjects that failed on zinc were poor adherent. Zinc was effective in 3/5 (60%) patients that failed on D-penicillamine and combination regimens. All 15 D-penicillamine responders that switched to zinc had good control of liver disease at a median follow-up of 13.1 years. Among 6 D-penicillamine non-responders that switched to zinc, 4 (67%) responded. At follow-up completion, only 5/42 (12%) patients failed. Adverse event-induced discontinuation was significantly more frequent in patients on D-penicillamine than in patients receiving zinc (P = .03). CONCLUSIONS: Zinc monotherapy is effective in controlling WD-related liver disease both as first-line and as maintenance treatment in patients with mild liver disease diagnosed in childhood.",1
1157,"D-penicillamine versus zinc sulfate as first-line therapy for Wilson's disease","BACKGROUND AND PURPOSE: To compare the course of treatment in patients with symptomatic Wilson's disease (WD) receiving either D-penicillamine (DPA) or zinc sulfate (ZS) as first-line therapy. METHODS: In all, 143 consecutive patients diagnosed with symptomatic WD from January 2005 to December 2009, followed until December 2010, were included. The decision about first-line therapy was made individually after discussion with the patient. Physicians had no clear preference of one drug over the other. Data were analyzed in subgroups with predominantly neurological (DPA, 35; ZS, 21) and hepatic (DPA, 36; ZS, 51) presentation of WD. RESULTS: According to Kaplan-Meier analysis, neurological WD patients scheduled for DPA had a similar probability of not remaining on first-line therapy as patients receiving ZS (20% vs. 24% at the end of follow-up), with adjusted odds ratio (OR) of 0.9 (95% CI 0.2-3.5). In patients with hepatic WD, this probability was significantly higher for DPA (31% vs. 12%; adjusted OR 3.0, 95% CI 0.9-9.9), especially in the first 6 months. Early worsening occurred only in neurological WD patients, with no differences between both treatment groups (35% vs. 19%; OR 2.8, 95% CI 0.7-10.8). Neurological improvement and decrease of liver enzymes were achieved with similar frequency. Compliance with DPA was better in hepatic (97% vs. 80%) but not in neurological patients (91% vs. 81%). Drug adverse effects were more common on DPA (15% vs. 3%). CONCLUSIONS: DPA and ZS are effective in the majority of WD patients. Neither therapy appears to be clearly superior. Therefore ZS may be considered a reasonable alternative to DPA as a first-line therapy. Copyright © 2014 The Author(s) European Journal of Neurology © 2014 EFNS.",1
1201,"Histologic evolution and long-term outcome of Wilson's disease: results of a single-center experience","BACKGROUND/AIMS: Wilson's disease (WD) is a rare inborn disease related to copper storage, leading to liver cirrhosis and neuropsychological deterioration. The aim of this study was to determine the clinical presentation and long-term outcome, and to examine the progression of hepatic histopathology in serial liver biopsies from WD patients. MATERIALS AND METHODS: We carried out a retrospective analysis of 60 patients with WD treated with zinc and/or penicillamine. Demographic, clinical, and laboratory data were gathered and 40 patients underwent an initial biopsy and at least one repeat biopsy. Patients were divided into two groups: progressors (patients who presented worsening of at least one unit of fibrosis) and nonprogressors (patients who presented stable or improved fibrosis scores). RESULTS: A total of 33/40 (83%) patients (nonprogressors) showed stable hepatic histology or improvement. Seven of 40 (17%) patients (progressors) showed worsening of fibrosis. There was no significant correlation between the histological findings and clinical parameters or initial presentation. CONCLUSION: In our study cohort, liver disease was stable or improving in most of the patients, and development of progressive hepatic symptoms while under treatment was a rare event. The development of new symptoms while under treatment or progression of pre-existing symptoms was more often recorded for neurological than for hepatic symptoms.",1
1218,"Wilson's disease-cause of mortality in 164 patients during 1992-2003 observation period","We studied the cause of death in a consecutive series of 164 patients with Wilson's disease (WD) diagnosed over an 11 year period. A total of 20 [12% (95% CI 10.3-16.0)] died during the observation period. The relative survival rate of all patients in our group was statistically smaller than in Polish population. The main cause of death was the diagnosis in advanced stage of disease, but in six patients presenting with mild signs, we observed the progression of the disease despite treatment. There was no difference in mortality rate in patients treated with d-penicillamine or zinc sulphate as initial therapy. The prognosis for survival in the majority of WD patients is favourable, provided that therapy is introduced early.",1
1267,"Effects of long-term treatment in Wilson's disease with D-penicillamine and zinc sulphate","The results of treatment with D-penicillamine (D-P) or zinc sulphate (Zn) in 67 newly diagnosed cases of Wilson's disease have been compared. All patients (7 with hepatic, 1 with psychiatric and 59 with neurological or preclinical forms) were fully compliant. During 12 years of observation, 34 patients received d-P and 33 Zn as the primary treatment. Fifteen patients (44%) discontinued D-P, in 10 cases owing to side effects. Four (12%) patients discontinued Zn, in 2 cases because of side-effects. One patient who received Zn deteriorated during the first few months after the initiation of therapy. The effectiveness of long-term treatment with D-P and Zn was similar in those patients who were able to continue the initial therapy. Zn was tolerated better than D-P; we suggest, therefore, that it may be recommended as an initial therapy for patients in the preclinical stage of Wilson's disease or with neurological presentation of the disease. More observation is needed for patients with the hepatic and psychiatric forms of the disease.",1
1315,"Response to different therapeutic approaches in Wilson disease. A long-term follow up study","BACKGROUND AND AIMS: There are certain areas of uncertainty regarding the best therapeutic approach in patients diagnosed with Wilson Disease (WD). Our aim was to assess treatment response to different therapies in a cohort of WD patients followed in a single center. MATERIAL AND METHODS: This is an observational, descriptive study in which clinical, laboratory and imaging data are reviewed in a series of 20 WD patients with a median follow-up of 14 years. Type of presentation, treatment used, biochemical and copper homeostasis parameters were elicited. RESULTS: Median age at diagnosis was 22 years. The most frequent form of presentation was hepatic (n = 10, 50%; mean age: 21.5 years), followed by neurological (25%; mean age: 34.5 years) and mixed (15%). The initial treatment in both symptomatic and asymptomatic patients at diagnosis was d-penicillamine in 90% and Zinc (Zn) in 10%, respectively. Patients who were maintained on d-penicillamine for the whole period had complete biochemical normalization (baseline ALT: 220 IU/l; last follow up 38 IU/l). In contrast, patients in whom d-penicillamine was switched to Zn, irrespective of the cause, did not show a complete biochemical remission (baseline ALT: 100 IU/l vs. 66 IU/l at last follow-up). CONCLUSIONS: Treatment was found to be effective in most cases regardless of the drug used. However, side effects were common in those treated with d-penicillamine agents, and required switching to zinc. Therapy with zinc was well tolerated and appeared to have a good efficacy. However, in 33%, a complete normalization of liver enzymes was never reached.",1
1382,"Long-term follow-up of Wilson disease: natural history, treatment, mutations analysis and phenotypic correlation","BACKGROUND AND AIMS: Wilson disease (WD) is an inherited disorder of copper metabolism. When treated, the outcome can be excellent, although the long-term survival has yet to be well documented. The aim of this study was to describe the long-term outcome of a cohort of patients with WD and to assess those factors affecting the phenotypic manifestation of WD. METHODS: The presence of mutations to the ATP7B gene, the clinical manifestations, treatments and the long-term outcomes were analysed retrospectively in 117 patients with WD (59 men and 58 women, aged at evaluation 38.5 +/- 11, range 16-63 years). RESULTS: Fifty-five patients with a neurological presentation, 51 patients with a hepatic presentation and 11 asymptomatic patients were followed up for an average of 15.1 +/- 10 years (median 12 years, range 1-41 years). The H1069Q ATP7B gene mutation was the most frequent genetic variant (54.3%); the frequency of this mutation did not differ between patients with either the hepatic or the neurological presentation (P = 0.099). d-penicillamine or zinc salts (81 and 17% respectively) were used for treatment, and three patients underwent liver transplantation. The majority of symptomatic patients became asymptomatic, or improved, during the follow-up (82% patients with hepatic presentation, 69% with neurological presentation). The long-term survival of patients with WD did not differ from that of the general Czech population (P = 0.95). CONCLUSIONS: Long-term follow-up shows a satisfactory response in the great majority of adequately treated patients with WD and survival coincides with that of the general population. Copyright © 2010 John Wiley & Sons A/S.",1
1403,"Wilson disease: histopathological correlations with treatment on follow-up liver biopsies","AIM: To investigate the progression of hepatic histopathology in serial liver biopsies from Wilson disease (WD) patients. METHODS: We report a group of 12 WD patients treated with zinc and/or penicillamine who underwent multiple follow-up liver biopsies. Demographic, clinical and laboratory data were gathered and all patients underwent an initial biopsy and at least one repeat biopsy. RESULTS: Time to repeat biopsy ranged from 2 to 12 years. Six patients (non-progressors) showed stable hepatic histology or improvement. In one case, we observed improvement of fibrosis from stage 2 to 0. Six patients (progressors) had worsening of fibrosis. There was no significant correlation between the histological findings and serum aminotransferases or copper metabolism parameters. The hepatic copper concentration reached normal levels in only two patients: one from the non-progressors and one from the progressors group. The estimated rate of progression of hepatic fibrosis in the entire group was 0 units per year in the time frame between the first and the second liver biopsy (4 years), and 0.25 between the second and the third (3 years). In the progressors group, the rate of progression of liver fibrosis was estimated at 0.11 fibrosis units per year between the first and second biopsy and, 0.6 fibrosis units between the second and third biopsy. CONCLUSION: The inability of clinical tools to detect fibrosis progression in WD suggests that a liver biopsy with hepatic copper quantification every 3 years should be considered.",1
